Date,Open,High,Low,Close,Volume,Market Cap
Oct-26-2020,13022.015623294,13215.246307023,12821.645820653,13065.536025938,23955461477.269844,241914487368.11047
Oct-25-2020,13115.294062256,13327.975490285,12915.832170488,13020.811715896,23616907117.363083,241630988925.63992
Oct-24-2020,12929.781613193,13139.417631239,12869.964614238,13117.174729466,22616597577.987717,241080144140.2053
Oct-23-2020,12964.757291175,13014.063168254,12740.00614402,12929.022175701,32656688931.649178,239378934757.29083
Oct-22-2020,12799.953004596,13162.648280435,12698.499309463,12958.537189204,44415617058.03408,239244404696.4159
Oct-21-2020,11908.741437109,13190.093701222,11891.811346113,12808.795951863,38524738667.9235,230398925866.8069
Oct-20-2020,11751.373870164,12004.208235424,11696.289357278,11910.242112809,26904815394.834343,219245674076.90637
Oct-19-2020,11500.032381833,11799.991170623,11420.516174237,11748.376783365,18200393175.51507,214382343089.30347
Oct-18-2020,11358.127960306,11490.015808249,11349.941714456,11490.015808249,15237087835.406223,211547198368.24194
Oct-17-2020,11316.374413365,11386.519670632,11278.311545193,11368.484736962,18609745832.274216,209973844655.3754
Oct-16-2020,11498.950040832,11539.220687877,11234.819023931,11312.662784187,25895236932.838688,210346030915.73874
Oct-15-2020,11417.105463767,11573.553664506,11291.765080966,11492.615897338,23046051336.079063,211240903137.5844
Oct-14-2020,11422.024201063,11544.578698772,11292.511892291,11426.367479344,22671063126.89314,211064738669.40564
Oct-13-2020,11531.360287501,11542.293836596,11324.197128691,11423.480015091,27767799953.70613,211938062475.14423
Oct-12-2020,11369.010052727,11696.482701892,11245.106890736,11544.137639625,21028934723.031235,211837518482.52734
Oct-11-2020,11294.712927937,11429.451339051,11279.862578901,11376.435109896,18400993816.97632,210284916214.8166
Oct-10-2020,11050.675887512,11463.743640155,11050.675887512,11294.994190302,23905936788.754456,209734341242.70096
Oct-09-2020,10920.198990255,11101.815678242,10841.66081493,11066.190869882,23417400425.568005,203184007851.05823
Oct-08-2020,10670.215540269,10931.023279932,10554.550295531,10898.551843619,18775481110.702206,198619252012.8514
Oct-07-2020,10602.399002304,10679.02790455,10567.965459144,10665.252260679,20562068864.540302,196530345918.35196
Oct-06-2020,10788.032090117,10792.260377989,10536.776390174,10604.446854355,19914334722.337044,198030505841.4181
Oct-05-2020,10667.057547703,10784.67081854,10629.995139918,10784.67081854,18073068400.64185,198061224066.4084
Oct-04-2020,10542.058432858,10684.270999744,10524.731279637,10665.698551049,15472962156.749538,196195661643.79477
Oct-03-2020,10570.3669008,10593.702973227,10501.486144013,10541.32189207,20391901419.668594,195151108986.78842
Oct-02-2020,10621.707590072,10662.01398036,10413.940889279,10566.494383933,28608315279.56241,194792345004.85968
Oct-01-2020,10777.14188193,10903.287513844,10472.415389694,10614.303326871,23740107473.44365,199013390077.45288
Sep-30-2020,10840.600465445,10843.68932657,10668.735161548,10766.814094563,22225613190.089066,198798360069.81042
Sep-29-2020,10692.352301853,10855.716137049,10652.236132304,10839.962683468,23902695206.731125,198551103778.67227
Sep-28-2020,10774.254373833,10937.007798492,10699.633719153,10702.472833045,22685381479.70504,201247059797.85535
Sep-27-2020,10729.819960376,10794.712348307,10620.55817204,10766.522449088,19197868192.35896,198230862184.9998
Sep-26-2020,10685.945175407,10769.907328673,10653.131775757,10739.742577529,22140813155.50458,198168996917.2775
Sep-25-2020,10734.536108508,10747.708065832,10567.237308721,10683.395234217,27637879181.215015,197360295367.15005
Sep-24-2020,10233.353551861,10763.753730141,10219.333956901,10731.532396808,28632863994.68496,193160151426.6561
Sep-23-2020,10529.278889306,10530.332328559,10180.505865872,10231.051311501,24341912905.56212,192973686929.94873
Sep-22-2020,10415.099656746,10557.444927881,10365.734692215,10531.351535286,31760586510.95583,193612405817.5007
Sep-21-2020,10920.987708412,10982.259479574,10349.49247776,10427.87773384,32049045619.888496,197524615883.1043
Sep-20-2020,11083.428565628,11083.428565628,10779.619326367,10914.687407947,27984393947.678074,201893765074.58337
Sep-19-2020,10933.952567389,11139.965954687,10892.869243459,11076.850892878,29847423554.188065,203594887334.84723
Sep-18-2020,10939.784675648,11018.743956734,10821.367226748,10916.970917053,33299227979.830162,201992991337.57605
Sep-17-2020,10943.450985538,11036.74463961,10767.361964834,10934.419674311,38373393891.39983,201350751779.82166
Sep-16-2020,10782.041277235,11079.289955111,10675.817591205,10946.921228692,38086295936.335106,201366679797.4612
Sep-15-2020,10671.462234795,10926.458731416,10637.487731928,10782.99980322,36621455087.98503,199132248074.60287
Sep-14-2020,10327.098000193,10737.483586635,10252.702899764,10665.113719053,31933742977.118027,194196335567.50446
Sep-13-2020,10441.288022204,10558.520969717,10218.636885809,10315.666411066,28367164217.130424,192127881478.09885
Sep-12-2020,10385.229624919,10476.97009882,10275.987112159,10438.37739278,27091848643.13046,191680565611.28262
Sep-11-2020,10336.832477149,10386.96005936,10215.871866891,10374.778150971,32078835059.6971,190370332139.1267
Sep-10-2020,10222.607116174,10464.140794506,10222.607116174,10334.638647185,32645377052.380928,190999091019.74768
Sep-09-2020,10116.665555577,10335.324719057,9983.509539052,10214.15437465,37822798641.018166,188204222607.76273
Sep-08-2020,10373.819673671,10397.842526217,9893.738057579,10112.206366256,40939773951.82829,187507101788.04895
Sep-07-2020,10248.393996744,10392.073189199,9896.301801447,10356.444382971,41532337191.218475,187748825397.5337
Sep-06-2020,10170.035547011,10339.13787418,9998.060703423,10257.229742702,56682146859.29868,188480626407.75604
Sep-05-2020,10448.690166223,10547.916974341,9902.977528811,10129.786654306,47745079004.76771,189709036351.37555
Sep-04-2020,10158.236884224,10602.968795159,10108.684939321,10473.519453043,51279765458.53506,191811080129.68982
Sep-03-2020,11388.867878174,11435.020123456,10103.862176104,10215.669958645,41460895659.59449,203871519785.94684
Sep-02-2020,11924.492570654,11945.582651837,11231.67949673,11399.148968018,40828722689.696045,213802951608.03683
Sep-01-2020,11650.160999794,12044.02118838,11551.451658336,11921.754916292,36030623507.373924,219184566363.103
Aug-31-2020,11715.379855157,11764.463114918,11578.522318313,11655.998698678,28817684113.387596,215789549308.06436
Aug-30-2020,11471.661267574,11704.63523542,11468.275352439,11697.794368445,25043705473.359047,214429322463.49957
Aug-29-2020,11502.402891201,11551.262488124,11437.270815301,11485.101567395,24334715746.665592,212233299545.35403
Aug-28-2020,11320.184264047,11504.097677571,11290.095889202,11496.830217387,32588672017.06571,211036707877.26074
Aug-27-2020,11462.852017346,11549.168639402,11188.793220386,11311.240202114,32828842214.21514,209653734745.6072
Aug-26-2020,11338.908192941,11519.647238246,11275.789326675,11463.567970252,36827771241.809875,210613286486.38416
Aug-25-2020,11756.697839883,11761.3604453,11166.88422956,11361.554816122,31693401988.68608,212634135184.42273
Aug-24-2020,11648.112342376,11822.060146586,11601.430913812,11763.761713068,27473249747.71102,216678337890.02298
Aug-23-2020,11680.516312202,11707.263444938,11537.632616373,11653.407286706,25832518308.66244,214622667029.49823
Aug-22-2020,11534.753087279,11687.658399784,11403.802019905,11681.15792601,34813826010.136505,213530755733.42764
Aug-21-2020,11855.744857782,11874.021688888,11511.718101403,11530.919234185,31263106135.312786,216936115830.4412
Aug-20-2020,11742.526098423,11878.737598781,11689.236035587,11866.595191214,33930368813.69045,217781876318.68497
Aug-19-2020,11969.194370738,12007.453785904,11638.94294719,11732.405565665,40374416080.83586,217876175357.21313
Aug-18-2020,12272.578629904,12364.515862013,11892.030440813,11961.994599784,42796629888.69929,224500807943.60254
Aug-17-2020,11892.992797819,12394.345021042,11787.626097961,12285.936628884,29928688831.406265,222199281267.3016
Aug-16-2020,11857.113343103,11912.908055212,11706.352598874,11892.68092121,27103038829.146084,218601707688.96658
Aug-15-2020,11755.708157766,11966.488278236,11755.708157766,11865.383052744,31579519762.251328,219092295047.44696
Aug-14-2020,11765.96545346,11830.530275557,11657.287583798,11742.876373856,37984318894.68006,216718826119.05927
Aug-13-2020,11567.066722511,11773.088455502,11301.370139918,11763.009141034,35020081227.88009,213109715698.4777
Aug-12-2020,11397.039450146,11607.740818595,11238.647352159,11576.814266862,42464680750.60656,211560773190.0746
Aug-11-2020,11885.451397024,11927.491912685,11185.182121576,11395.405816094,37908458366.05912,214723636951.70358
